url,status,title,description,canonical,robots,h1_count,indexable,error
https://www.koppiesystems.co.za/,200,SEO-First Websites &amp; Digital Systems | Koppie Systems,"Koppie Systems builds SEO-first websites, ecommerce platforms and practical digital systems for technical and service businesses across South Africa.",http://localhost:3000/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/,200,"Websites, Ecommerce and Business Systems | Koppie Systems","Koppie Systems builds connected websites, ecommerce and operational systems for South African businesses: acquire customers, run operations, and scale with support.",http://localhost:3000/services/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/business-websites/,200,Business Website Design South Africa | Koppie Systems,"Professional business websites built SEO-first: structured for Google, written for your customers and measured in enquiries. Serving South Africa.",http://localhost:3000/services/business-websites/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/lead-generation-websites/,200,Lead Generation Website Design | Koppie Systems,"Lead-generation websites for contractors and service businesses: built around the searches your customers make and measured in quote requests, not visits.",http://localhost:3000/services/lead-generation-websites/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/product-catalogue-websites/,200,Product Catalogue Website Development | Koppie Systems,"Product catalogue websites for manufacturers and suppliers: structured product data, spec sheets and RFQ baskets that turn browsing into quote requests.",http://localhost:3000/services/product-catalogue-websites/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/ecommerce-websites/,200,Ecommerce Website Development South Africa | Koppie Systems,"Ecommerce websites built for South African retailers: fast product pages that rank, local payment gateways, and a checkout your customers finish.",http://localhost:3000/services/ecommerce-websites/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/custom-web-applications/,200,Custom Web Application Development South Africa | Koppie Systems,"Custom web applications for South African businesses whose processes no off-the-shelf product fits: scoped honestly, built on a modern stack, owned by you.",http://localhost:3000/services/custom-web-applications/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/admin-panel-development/,200,Admin Panel Development | Koppie Systems,"Custom admin panels that replace spreadsheet chaos: one structured system for your records, jobs and numbers, with roles, audit trails and exports.",http://localhost:3000/services/admin-panel-development/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/rfq-and-quotation-systems/,200,RFQ &amp; Quotation System Development | Koppie Systems,"RFQ and quotation systems for quote-driven businesses: structured intake, fast professional quotes with VAT, status tracking and follow-up built in.",http://localhost:3000/services/rfq-and-quotation-systems/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/customer-and-supplier-portals/,200,Customer &amp; Supplier Portal Development | Koppie Systems,"Customer and supplier portals for B2B businesses: self-service orders, documents, statements and job status — fewer “just checking” calls, stickier clients.",http://localhost:3000/services/customer-and-supplier-portals/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/website-redesign/,200,Website Redesign Services South Africa | Koppie Systems,"Website redesign that protects what you have and fixes what you don’t: audit first, redirect map, rebuilt SEO architecture, measured before and after.",http://localhost:3000/services/website-redesign/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
https://www.koppiesystems.co.za/services/seo-website-development/,200,SEO Website Development South Africa | Koppie Systems,"SEO website development done in the right order: keyword-to-page architecture first, then technical build, schema and Search Console — method you can inspect.",http://localhost:3000/services/seo-website-development/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html|staging_banner
https://www.koppiesystems.co.za/services/website-maintenance-and-support/,200,Website Maintenance &amp; Support South Africa | Koppie Systems,"Website maintenance plans for South African businesses: hosting admin, updates, backups, monitoring and monthly change time — from basic care to ecommerce SLAs.",http://localhost:3000/services/website-maintenance-and-support/,"index, follow",1,false,canonical_not_self|canonical_host_wrong|og_url_host_wrong|localhost_in_html
